Id,SalePrice
1461,127041.555
1462,160827.0
1463,178613.75
1464,188794.28
1465,190845.38
1466,177995.28
1467,181084.45
1468,164370.42
1469,182180.97
1470,125429.45
1471,203417.4
1472,90218.195
1473,93116.53
1474,152256.56
1475,127606.34
1476,379542.72
1477,269015.4
1478,297563.56
1479,199134.47
1480,495610.72
1481,340347.8
1482,216997.42
1483,155531.98
1484,167219.81
1485,171830.27
1486,190063.23
1487,364666.66
1488,237484.39
1489,194953.39
1490,202620.08
1491,192175.42
1492,84376.44
1493,209176.03
1494,287444.34
1495,293226.78
1496,227362.73
1497,183932.31
1498,156450.92
1499,160499.48
1500,149168.0
1501,174426.78
1502,152748.92
1503,306893.97
1504,231056.94
1505,211100.44
1506,184212.11
1507,251363.19
1508,193088.55
1509,158031.89
1510,147385.66
1511,137897.98
1512,162879.72
1513,152575.73
1514,160786.73
1515,191112.42
1516,156848.11
1517,164738.84
1518,131870.5
1519,226969.56
1520,139082.7
1521,132516.52
1522,176908.61
1523,107339.445
1524,122171.91
1525,114864.28
1526,128266.38
1527,109245.53
1528,125984.75
1529,145293.78
1530,177052.38
1531,93689.92
1532,102667.38
1533,147525.64
1534,119012.47
1535,155494.94
1536,106572.19
1537,84918.65
1538,188192.39
1539,201797.86
1540,85417.66
1541,137843.19
1542,131772.53
1543,223882.22
1544,85484.055
1545,117970.24
1546,135446.81
1547,128214.836
1548,140867.06
1549,119510.07
1550,142110.25
1551,120361.734
1552,138914.7
1553,154502.98
1554,106619.055
1555,169457.38
1556,81964.664
1557,102717.06
1558,93594.32
1559,101194.055
1560,137021.81
1561,150559.27
1562,130586.27
1563,122054.29
1564,169230.6
1565,141806.16
1566,244749.06
1567,67450.67
1568,228317.89
1569,119575.17
1570,136480.52
1571,131500.66
1572,147454.58
1573,247557.42
1574,116464.34
1575,193080.39
1576,221911.84
1577,199893.78
1578,148628.02
1579,151914.83
1580,199404.42
1581,157507.67
1582,126199.65
1583,339222.78
1584,229587.19
1585,144909.4
1586,81299.44
1587,97113.72
1588,153857.25
1589,96804.32
1590,133363.47
1591,93428.664
1592,116360.61
1593,140062.45
1594,141375.42
1595,110516.13
1596,235611.08
1597,183800.02
1598,201354.89
1599,193064.08
1600,189670.42
1601,77769.97
1602,104332.44
1603,79865.414
1604,273580.97
1605,240509.66
1606,169444.75
1607,126238.73
1608,212483.83
1609,195044.94
1610,148405.1
1611,138195.88
1612,168491.28
1613,170294.33
1614,131091.9
1615,91583.46
1616,67651.016
1617,96449.04
1618,121446.14
1619,152714.86
1620,153186.9
1621,133742.27
1622,141630.06
1623,315554.1
1624,209172.44
1625,128945.625
1626,167523.56
1627,186092.7
1628,284120.22
1629,176825.03
1630,398435.6
1631,225042.97
1632,244886.95
1633,166405.33
1634,180990.38
1635,189543.19
1636,163174.45
1637,183436.08
1638,202684.12
1639,182790.62
1640,247415.17
1641,179815.31
1642,209485.38
1643,208806.89
1644,223150.19
1645,185760.38
1646,160363.8
1647,155202.42
1648,140274.72
1649,142636.23
1650,120984.56
1651,118119.3
1652,90177.92
1653,101062.1
1654,148674.1
1655,151411.31
1656,149375.61
1657,149210.42
1658,141631.52
1659,131071.8
1660,156535.36
1661,426986.44
1662,393829.12
1663,400632.03
1664,427185.88
1665,294097.03
1666,322545.06
1667,366929.62
1668,347122.28
1669,289785.34
1670,337101.28
1671,249671.86
1672,449809.03
1673,298794.47
1674,242706.03
1675,176592.16
1676,181002.16
1677,213563.86
1678,455053.22
1679,373480.9
1680,338681.8
1681,272072.84
1682,297135.34
1683,173009.9
1684,170127.12
1685,169629.84
1686,171014.08
1687,161513.97
1688,182760.5
1689,189718.81
1690,190547.78
1691,181762.69
1692,271261.72
1693,161792.5
1694,182702.05
1695,167124.1
1696,268323.0
1697,173944.64
1698,392358.56
1699,331873.1
1700,246473.4
1701,260793.92
1702,232416.14
1703,249533.47
1704,305266.94
1705,227813.94
1706,397191.5
1707,211929.11
1708,201111.22
1709,307294.2
1710,223992.94
1711,236122.64
1712,235824.53
1713,230312.88
1714,213670.05
1715,203738.17
1716,180072.55
1717,166725.06
1718,133197.84
1719,198958.89
1720,253553.31
1721,165445.45
1722,127549.195
1723,152889.06
1724,228665.48
1725,244320.77
1726,190196.0
1727,154662.62
1728,183973.73
1729,160802.66
1730,171537.14
1731,127105.68
1732,131781.27
1733,122702.234
1734,127852.586
1735,128565.016
1736,117289.305
1737,370629.44
1738,220305.92
1739,334297.12
1740,185511.34
1741,198267.94
1742,165932.89
1743,167814.72
1744,328000.47
1745,214940.38
1746,219688.39
1747,206184.58
1748,239840.39
1749,149812.83
1750,130197.5
1751,255000.22
1752,119516.2
1753,145790.78
1754,206335.98
1755,173955.44
1756,130375.19
1757,121194.68
1758,150451.86
1759,159763.72
1760,163815.53
1761,146213.55
1762,176783.86
1763,170764.47
1764,111442.72
1765,167549.62
1766,174340.27
1767,228586.64
1768,142098.5
1769,174993.72
1770,152826.61
1771,137748.44
1772,131445.77
1773,139346.75
1774,82330.77
1775,133553.98
1776,130506.37
1777,115678.77
1778,142686.42
1779,111783.945
1780,176037.36
1781,133804.47
1782,96621.61
1783,130057.92
1784,100948.19
1785,118951.625
1786,163203.58
1787,164885.88
1788,55083.152
1789,108099.984
1790,78157.23
1791,180705.17
1792,150453.72
1793,133942.61
1794,152249.52
1795,125355.28
1796,126385.97
1797,117571.18
1798,131712.62
1799,112495.7
1800,136821.86
1801,129751.086
1802,148288.33
1803,151949.62
1804,142378.69
1805,136541.89
1806,114819.48
1807,134882.38
1808,116421.2
1809,108701.44
1810,145777.11
1811,98391.914
1812,94576.73
1813,119290.445
1814,100512.336
1815,53645.582
1816,102768.445
1817,111169.12
1818,149115.81
1819,117137.08
1820,74920.56
1821,110628.836
1822,142158.61
1823,53759.84
1824,139676.67
1825,130584.984
1826,98526.52
1827,112159.55
1828,141398.38
1829,128755.13
1830,143555.81
1831,178690.45
1832,74703.41
1833,144167.23
1834,106615.89
1835,154990.78
1836,131599.48
1837,88140.82
1838,111901.016
1839,85094.695
1840,162989.28
1841,152651.84
1842,81407.66
1843,146409.72
1844,142688.47
1845,131383.98
1846,153891.02
1847,156357.64
1848,59577.645
1849,119373.1
1850,118807.93
1851,152228.56
1852,127928.53
1853,139319.8
1854,169335.84
1855,120132.24
1856,210771.02
1857,134475.77
1858,140252.72
1859,125358.43
1860,156796.73
1861,125358.43
1862,358599.8
1863,338902.75
1864,338902.75
1865,336146.38
1866,345168.9
1867,257228.81
1868,332859.84
1869,197870.45
1870,257880.72
1871,251194.62
1872,170546.78
1873,229652.28
1874,152861.98
1875,206243.1
1876,190447.95
1877,214244.86
1878,197333.88
1879,138331.05
1880,136145.16
1881,236386.88
1882,253250.75
1883,195889.48
1884,211730.73
1885,266177.38
1886,316966.22
1887,217387.69
1888,277954.47
1889,159196.75
1890,135215.9
1891,135981.95
1892,107704.54
1893,127951.125
1894,124206.97
1895,138740.03
1896,124060.195
1897,113019.57
1898,115818.67
1899,150916.84
1900,146235.45
1901,175267.39
1902,151309.3
1903,212670.12
1904,146583.2
1905,190246.36
1906,178338.25
1907,199364.44
1908,115379.39
1909,136206.66
1910,125747.414
1911,220018.77
1912,316754.1
1913,157389.9
1914,83271.1
1915,327892.97
1916,53874.324
1917,264033.9
1918,139239.94
1919,159878.11
1920,150739.89
1921,422655.84
1922,333791.03
1923,214305.64
1924,214241.64
1925,212176.66
1926,392358.5
1927,137337.64
1928,151229.55
1929,122455.51
1930,136995.05
1931,146687.39
1932,133650.19
1933,178193.78
1934,184761.56
1935,167326.39
1936,188097.4
1937,188433.53
1938,168448.88
1939,229687.17
1940,191239.72
1941,176167.64
1942,188874.25
1943,218107.9
1944,316721.1
1945,379743.28
1946,130018.64
1947,349559.66
1948,177410.7
1949,217442.25
1950,180070.95
1951,258720.47
1952,205319.95
1953,164591.94
1954,193400.12
1955,124903.47
1956,325671.22
1957,160021.38
1958,314297.25
1959,129236.12
1960,120656.33
1961,118218.87
1962,92336.36
1963,105577.25
1964,103495.75
1965,143633.64
1966,145573.8
1967,281333.88
1968,418308.25
1969,379165.03
1970,449928.38
1971,434276.1
1972,370270.5
1973,275070.06
1974,305094.88
1975,499739.88
1976,263487.2
1977,349742.8
